"Campaign","Campaign type","Campaign status","Budget","Bid strategy type","Maximum CPC bid limit","Networks","Language targeting","Ad schedule","EU political ads","Ad group","Ad group status"
"KZ | HR | Search | RU","Search","Paused","5.00","Maximize clicks","2","Google Search","ru","(Monday[09:00-19:00]);(Tuesday[09:00-19:00]);(Wednesday[09:00-19:00]);(Thursday[09:00-19:00]);(Friday[09:00-19:00])","No","",""
"KZ | HR | Search | RU","","Paused","","","","","","","","AG1 | Employee onboarding","Paused"
"KZ | HR | Search | RU","","Paused","","","","","","","","AG2 | Onboarding platform","Paused"
"KZ | HR | Search | RU","","Paused","","","","","","","","AG3 | Candidate assessment","Paused"
"KZ | HR | Search | RU","","Paused","","","","","","","","AG4 | Candidate testing platform","Paused"
